ID,Fiction,Sci-Fict,Baby_Toddler,  Teen, Manga,Art&Hist,SelfImprov,Cooking, Games, Gifts,Journals,  News,NonFict,HairyPottery,Mysteries,Thrillers,Classics,Poetry,Romance,Horror
223,     2,     4,     0,     7,     1,     1,     7,     4,     1,     5,     2,     1,     3,     1,     5,     6,     8,     7,     4,     3
224,     0,     0,     4,     9,     3,     1,     7,     5,     1,     5,     1,     4,     6,     3,     6,     5,     6,     5,     9,     3
225,     4,     8,     8,     1,     1,     2,     1,     5,     5,     4,     1,     4,     8,     7,     2,     5,     7,     5,     0,     0
226,     1,     3,     9,     0,     3,     0,     1,     5,     4,     5,     2,     5,    10,     5,     2,     4,     9,     4,     0,     0
227,     4,     5,     9,     5,     1,     3,     2,     3,     7,     4,     3,     1,     2,     1,     0,     1,     1,     7,    10,     9
228,     5,     9,     8,     7,     0,     1,     4,     4,     7,     4,     3,     0,     1,     0,     1,     4,     1,     5,    10,     7
229,     1,     4,     8,     1,     1,     1,     1,     5,     3,     5,     1,     4,     8,     5,     1,     5,     6,     7,     1,     0
230,     9,     8,     1,     4,     4,     0,     3,     0,     7,     4,     8,     1,     1,     5,     4,     3,     1,    10,     5,     5
231,     3,     5,     9,     1,     2,     1,     1,     4,     5,     6,     2,     5,     9,     4,     5,     3,     4,     5,     0,     0
232,     0,     2,     2,     9,     2,     1,     8,     5,     2,     6,     1,     1,     8,     1,     2,     4,     4,     4,     6,     0
233,     2,     1,     2,     9,     7,     0,     7,     6,     1,     6,     1,     2,     2,     1,    10,     3,     7,     6,     6,     2
234,     3,     7,     9,     1,     0,     2,     1,     6,     6,     7,     2,     5,     7,     2,     1,     5,     5,     4,     0,     0
235,     4,     5,     8,     1,     0,     1,     1,     5,     5,     6,     1,     6,     8,     4,     2,     3,     3,     7,     0,     0
236,     0,     3,     2,     9,     2,     1,    10,     4,     2,     4,     1,     1,     4,     2,     6,     5,     7,     5,     6,     3
237,     3,     5,     7,     1,     0,     1,     2,     3,     4,     5,     1,     8,     8,     6,     0,     1,     8,     5,     1,     0
238,     8,     6,     1,    10,     4,     1,     5,     2,     7,     2,     6,     2,     2,     5,     1,     4,     2,     7,     4,     4
239,     5,    10,     9,     6,     0,     0,     5,     3,     8,     4,     4,     4,     0,     1,     0,     1,     3,     4,     8,     9
240,     2,     2,     1,     7,     5,     0,    10,     6,     1,     5,     1,     2,     4,     3,     3,     5,     8,     5,     4,     3
241,     4,     6,    10,     6,     0,     3,     2,     3,     8,     5,     3,     1,     1,     0,     2,     1,     4,     5,     8,     9
242,     1,     5,     7,     7,     1,     0,     3,     6,     7,     6,     1,     0,     1,     0,     2,     1,     1,     7,     8,    10
243,     7,     5,     3,     7,     5,     0,     4,     0,     3,     7,     7,     1,     5,     6,     3,     1,     3,     6,     6,     7
244,     4,     7,    10,     1,     1,     1,     2,     3,     7,     6,     3,     6,    10,     5,     2,     2,     7,     5,     0,     0
245,     7,     3,     9,     5,     1,     2,     5,     2,     8,     5,     2,     1,     1,     1,     2,     1,     3,     5,     9,     7
246,     5,     8,     9,     5,     0,     0,     5,     4,     8,     4,     3,     3,     3,     0,     1,     5,     5,     8,     8,     8
247,     3,     2,     3,     7,     3,     0,     9,     7,     0,     8,     5,     3,     3,     2,     9,     5,     7,     8,     5,     3
248,     4,     7,    10,     8,     0,     1,     5,     4,     7,     2,     1,     1,     0,     0,     2,     0,     1,     6,     8,     9
249,     5,     4,    10,     0,     1,     2,     0,     4,     6,     6,     2,     5,    10,     5,     2,     2,     5,     5,     2,     0
250,     1,     1,     2,     7,     2,     1,     7,     5,     0,     7,     0,     2,     4,     3,     7,     6,     6,     8,     3,     0
251,     4,     2,     3,     7,     1,     0,     7,     4,     3,     3,     2,     3,     3,     0,     3,     6,     8,     3,     4,     2
252,     7,     5,    10,     7,     0,     1,     6,     6,     7,     4,     4,     1,     1,     0,     1,     2,     0,     7,     9,     9
253,     2,     3,     2,     8,     2,     1,     8,     6,     2,     4,     3,     2,     3,     4,     5,     4,     8,     6,     5,     2
254,     8,     8,     2,     8,     7,     2,     7,     1,     5,     4,     6,     0,     2,     7,     1,     2,     2,     3,     5,     3
255,     9,     8,     0,     8,     8,     1,     2,     1,     4,     1,     6,     3,     4,     8,     3,     5,     1,     5,     4,     2
256,     7,     7,     2,     8,     4,     1,     4,     1,     5,     7,     7,     2,     4,     7,     0,     3,     2,     5,     5,     3
257,     1,     4,     4,     7,     1,     2,     8,     4,     1,     7,     2,     2,     2,     2,     8,     5,     5,     4,     5,     1
258,     4,     5,     8,     2,     3,     3,     1,     8,     4,     6,     2,     4,    10,     3,     1,     1,     6,     6,     0,     0
259,     8,     7,     1,     7,     4,     2,     2,     0,     4,     6,     8,     0,     5,     8,     1,     1,     5,     6,     5,     5
260,     3,     6,     9,     3,     1,     0,     1,     3,     2,     2,     1,     2,     9,     7,     4,     6,     6,     5,     0,     0
261,     9,     7,     1,     7,     8,     1,     3,     0,     6,     4,     6,     2,     4,     8,     1,     2,     0,     6,     4,     3
262,     1,     7,     9,     1,     0,     0,     1,     3,     9,     7,     0,     5,    10,     3,     2,     3,     7,     4,     0,     0
263,     4,     5,     9,     1,     2,     0,     2,     5,     5,     4,     0,     4,     9,     3,     3,     2,     8,     5,     0,     0
264,     2,     4,     2,     7,     3,     0,    10,     4,     0,     3,     4,     2,     5,     1,     9,     3,     7,     6,     4,     2
265,     3,     4,     9,     0,     1,     2,     1,     5,     5,     6,     3,     5,     9,     4,     2,     4,     8,     5,     0,     0
266,     5,     7,     8,     6,     0,     1,     4,     6,     6,     4,     4,     2,     1,     3,     3,     4,     2,     6,     9,    10
267,     0,     0,     3,    10,     1,     0,     9,     8,     2,     3,     0,     3,     6,     1,     6,     6,     6,     8,     7,     4
268,     1,     4,     3,     7,     2,     1,     7,     4,     2,     3,     1,     4,     5,     1,     7,     6,     8,     4,     5,     3
269,     2,     9,    10,     1,     1,     1,     2,     7,     6,     6,     1,     2,     8,     4,     2,     5,     6,     4,     0,     0
270,     3,     8,     8,     0,     1,     1,     2,     4,     6,     5,     1,     6,    10,     3,     2,     3,     8,     4,     0,     0
271,     3,     5,     8,     5,     0,     0,     5,     4,     7,     4,     4,     0,     0,     0,     1,     3,     1,     5,     7,    10
272,     5,    10,     0,     6,     6,     0,     2,     1,     5,     8,     8,     1,     1,     9,     1,     2,     2,     5,     5,     1
273,     2,     7,     7,     0,     2,     2,     0,     4,     6,     5,     2,     6,    10,     4,     2,     1,     8,     4,     1,     0
274,     1,     6,     1,     9,     2,     2,     9,     6,     1,     4,     2,     3,     1,     1,     7,     2,     5,     4,     7,     3
275,     1,     1,     1,     7,     3,     1,    10,     4,     0,     8,     1,     1,     6,     2,     5,     5,     9,     8,     5,     1
276,     3,     7,     9,     5,     0,     1,     5,     5,     8,     4,     3,     2,     1,     1,     0,     3,     2,     4,     7,     9
277,     8,     7,     1,     7,     4,     0,     4,     0,     3,     6,     5,     3,     6,     5,     0,     1,     2,     7,     5,     6
278,     6,     7,     9,     6,     0,     3,     5,     3,     7,     3,     1,     0,     1,     1,     1,     3,     1,     6,     8,     7
279,     3,     1,     1,     9,     3,     0,     8,     4,     1,     8,     1,     4,     3,     1,     7,     8,     8,     4,     3,     2
280,     5,     8,     8,     0,     0,     1,     2,     9,     6,     6,     2,     6,    10,     6,     3,     5,     4,     3,     0,     0
281,     6,     7,     0,     9,     7,     1,     3,     2,     6,     7,     6,     1,     3,     5,     3,     3,     0,     6,     6,     2
282,     4,     7,     9,     5,     0,     1,     4,     6,     9,     5,     3,     0,     0,     0,     2,     4,     0,     6,     9,    10
283,     1,     6,     7,     1,     1,     1,     1,     5,     6,     8,     3,     3,     9,     4,     6,     2,     4,     6,     0,     0
284,     4,     6,     8,     1,     2,     1,     1,     6,     2,     7,     2,     6,     9,     7,     4,     1,     7,     7,     1,     0
285,     2,     6,    10,     2,     1,     2,     0,     6,     8,     8,     0,     4,    10,     4,     0,     4,     5,     6,     0,     0
286,     3,     2,     1,     8,     3,     1,     9,     4,     2,     3,     0,     0,     7,     3,     5,     6,     5,     2,     7,     2
287,     4,     6,     7,     1,     2,     1,     1,     5,     5,     4,     2,     3,     8,     5,     0,     4,     7,     4,     1,     0
288,     6,     6,     7,     6,     0,     1,     5,     3,     7,     5,     3,     1,     1,     1,     0,     4,     3,     3,    10,     7
289,     3,     5,     8,     0,     0,     2,     1,     8,     6,     6,     2,     6,     8,     5,     3,     1,     6,     6,     1,     0
290,     5,     5,     8,     8,     0,     1,     5,     8,     9,     4,     2,     1,     1,     0,     1,     2,     3,     5,     9,     8
291,     2,     4,     9,     0,     0,     1,     2,     4,     4,     5,     0,     4,     8,     6,     3,     3,     7,     2,     1,     0
292,     9,     9,     3,     9,     4,     2,     1,     1,     6,     1,     4,     2,     2,     4,     1,     2,     2,     7,     6,     2
293,     8,     7,     8,     3,     0,     1,     5,     6,     7,     4,     4,     2,     1,     1,     2,     3,     1,     5,     9,     8
294,     3,     7,     7,     4,     0,     1,     6,     3,     7,     6,     2,     0,     1,     0,     2,     0,     3,     2,    10,     9
295,     5,     5,     9,     5,     0,     1,     6,     5,     9,     3,     2,     0,     1,     0,     3,     4,     4,     7,     7,    10
296,     6,     5,     1,     8,     9,     1,     5,     0,     5,     8,     9,     0,     3,     4,     2,     4,     4,     6,     8,     2
297,     6,     8,     6,     5,     0,     1,     4,     4,     7,     1,     3,     1,     1,     0,     4,     3,     4,     5,    10,     9
298,     4,     1,     2,     8,     5,     1,     7,     2,     0,     5,     2,     3,     2,     0,     7,     8,     8,     4,     6,     2
299,     0,     1,     1,     8,     3,     1,    10,     5,     2,     5,     4,     2,     4,     2,     4,     3,    10,     6,     4,     1
300,     2,     1,     4,     7,     3,     0,     7,     3,     0,     4,     1,     2,     4,     2,     3,     4,     8,     5,     7,     1
301,     0,     4,     2,     8,     3,     0,     9,     5,     0,     4,     1,     1,     1,     2,     7,     7,     7,     4,     2,     2
302,     2,     4,     1,     8,     1,     0,     8,     5,     0,     2,     4,     2,     4,     2,     5,     6,     7,     5,     3,     2
303,     1,     2,     2,     8,     4,     2,     9,     5,     4,     4,     2,     2,     1,     1,     5,     5,     6,     4,     5,     2
304,     3,     1,     1,     8,     3,     1,     8,     6,     0,     1,     0,     1,     5,     1,     4,     5,     6,     5,     5,     2
305,     7,     6,    10,     6,     0,     0,     3,     7,     7,     3,     2,     0,     0,     0,     2,     3,     1,     3,     9,     8
306,     2,     5,     1,     9,     5,     0,     7,     1,     4,     4,     6,     2,     1,     4,     2,     6,     3,     5,     3,     2
307,     1,     2,     3,     9,     2,     2,    10,     5,     1,     4,     2,     3,     3,     1,     6,     5,     8,     5,     8,     1
308,     4,     6,     9,     5,     0,     2,     3,     7,     9,     4,     1,     1,     1,     1,     2,     2,     3,     5,     7,    10
309,     1,     3,     2,     8,     3,     1,     7,     8,     2,     4,     3,     3,     2,     1,     8,     5,     4,     8,     5,     0
310,     4,     9,     3,     8,     3,     1,     6,     1,     7,     6,     9,     1,     3,     4,     2,     2,     2,     5,     3,     3
311,     5,     8,     9,     8,     0,     0,     2,     2,     7,     8,     2,     1,     3,     0,     2,     2,     2,     4,     8,     9
312,     6,     8,     0,     8,     5,     0,     5,     0,     5,     6,     8,     2,     1,     6,     3,     0,     1,     7,     3,     3
313,     1,     3,     1,     8,     4,     2,    10,     3,     2,     4,     2,     4,     3,     3,     5,     7,     8,     2,     4,     2
314,     2,     5,     9,     1,     2,     0,     0,     6,     4,     6,     2,     6,    10,     3,     2,     4,     7,     6,     0,     0
315,     2,     5,     8,     1,     1,     0,     3,     4,     4,     5,     3,     4,    10,     6,     3,     4,     7,     5,     0,     0
316,     7,     8,     9,     5,     0,     3,     5,     3,     9,     5,     5,     0,     1,     0,     3,     3,     2,     5,     9,     8
317,     1,     1,     0,     7,     0,     3,     9,     4,     2,     5,     0,     3,     3,     2,     6,     5,     5,    10,     5,     4
318,     1,     7,     8,     0,     0,     0,     0,     5,     6,     4,     3,     7,     9,     4,     3,     4,     3,     4,     0,     0
319,     6,     7,    10,     3,     1,     0,     1,     4,     4,     6,     4,     0,     2,     1,     2,     1,     2,     5,     9,     8
320,     7,     8,     1,     9,     7,     0,     3,     0,     5,     5,     7,     4,     3,     8,     2,     1,     2,     8,     3,     3
321,     8,     6,     2,     8,     6,     0,     2,     0,     5,     6,     5,     2,     4,     8,     4,     3,     0,     2,     5,     4
322,     1,     0,     1,     7,     4,     0,     5,     6,     1,     5,     1,     1,     4,     1,     5,     6,     6,     7,     4,     2
323,     6,     6,     7,     5,     0,     1,     5,     7,     7,     3,     3,     1,     1,     1,     0,     1,     3,     4,     9,     7
324,     4,     5,     1,     7,     7,     1,     1,     1,     4,     7,     5,     0,     2,     5,     3,     4,     3,     6,     4,     4
325,     6,     6,    10,     7,     0,     3,     7,     3,     7,     2,     3,     0,     2,     1,     2,     1,     0,     4,     8,    10
326,     7,     5,     9,     6,     0,     2,     6,     3,     8,     8,     5,     0,     1,     0,     0,     2,     2,     7,     9,     9
327,     3,     5,     9,     6,     0,     0,     3,     4,     5,     6,     3,     2,     1,     0,     2,     1,     1,     3,     8,     9
328,     7,     6,     8,     2,     0,     0,     5,     5,     8,     4,     5,     1,     1,     0,     2,     2,     3,     2,     9,     5
329,     1,     3,     2,    10,     3,     2,     8,     4,     2,     4,     2,     0,     3,     2,     5,     2,     7,     3,     5,     5
330,     2,     2,     4,     8,     3,     0,     8,     3,     1,     5,     2,     0,     5,     3,     7,     6,     4,     7,     6,     0
331,     1,     6,     8,     0,     0,     0,     0,     5,     4,     4,     2,     5,    10,     5,     3,     5,     9,     5,     0,     0
332,     1,     3,     1,    10,     2,     1,     7,     5,     2,     6,     1,     1,     3,     3,     3,     5,     9,     5,     6,     1
333,     4,     7,     9,     6,     0,     1,     6,     5,     8,     8,     3,     2,     0,     0,     3,     1,     4,     2,     8,    10
334,     9,     8,     2,     6,     6,     0,     2,     2,     6,     3,     9,     2,     4,     8,     7,     3,     3,     4,     5,     3
335,     2,     1,     1,     7,     4,     0,     9,     3,     4,     6,     0,     4,     5,     3,     5,     3,     5,     5,     4,     4
336,     4,     7,     9,     4,     0,     0,     3,     1,     9,     4,     2,     1,     4,     0,     1,     1,     3,     8,     8,     9
337,     5,     8,    10,     7,     0,     0,     3,     6,     7,     4,     4,     0,     1,     0,     3,     3,     3,     5,     8,    10
338,     7,     4,    10,     5,     0,     0,     5,     3,     7,     8,     2,     1,     0,     2,     2,     5,     0,     5,     8,    10
339,     4,     4,     8,     7,     0,     0,     4,     6,    10,     5,     0,     1,     1,     0,     3,     1,     1,     6,     8,    10
340,     2,     0,     2,     9,     1,     0,     8,     3,     1,     5,     1,     2,     2,     3,     8,     5,     6,     6,     7,     1
341,     3,     6,     8,     0,     0,     3,     1,     3,     7,     2,     1,     7,     9,     5,     1,     0,     7,     4,     0,     0
342,     0,     7,     8,     0,     0,     1,     1,     3,     5,     6,     2,     4,     8,     4,     3,     3,     7,     5,     0,     0
343,     2,     1,     2,     8,     3,     1,    10,     3,     0,     4,     1,     1,     5,     3,     5,     8,     6,     5,     5,     1
344,     2,     3,     1,     9,     1,     0,     7,     7,     0,     4,     2,     3,     5,     2,     8,     5,    10,     5,     7,     1
345,     7,     7,     2,     8,     5,     1,     1,     0,     7,     7,     6,     3,     2,     9,     3,     4,     2,     4,     5,     3
346,     0,     0,     2,     8,     2,     0,     9,     7,     0,     6,     2,     4,     5,     3,     5,     2,     9,     4,     3,     0
347,     0,     2,     1,     7,     4,     1,    10,     6,     1,     4,     2,     2,     2,     1,     4,     5,     7,     7,     6,     0
348,     5,     7,     9,     4,     0,     1,     4,     5,     9,     3,     3,     0,     2,     0,     2,     3,     1,     3,     9,    10
349,     1,     7,     8,     1,     0,     0,     3,     4,     6,     6,     0,     5,    10,     6,     0,     3,     6,     4,     2,     0
350,     1,     4,     8,     0,     0,     1,     2,     5,     2,     6,     3,     4,     9,     3,     4,     4,     8,     7,     0,     0
351,     2,     6,     9,     5,     1,     0,     6,     7,     7,     5,     3,     1,     0,     1,     0,     1,     2,     3,     8,    10
352,     0,     3,     3,     9,     1,     0,     9,     5,     1,     4,     3,     1,     3,     1,     6,     5,     6,     6,     6,     2
353,     4,     8,     1,     8,     7,     2,     2,     1,     6,     2,     5,     2,     2,     7,     5,     3,     2,     5,     4,     4
354,     5,     9,     8,     5,     0,     3,     5,     5,     9,     5,     3,     1,     1,     0,     0,     2,     2,     4,     9,     9
355,     5,     5,    10,     1,     0,     1,     1,     4,     7,     3,     2,     5,    10,     6,     1,     2,     7,     6,     1,     0
356,     7,     4,     9,     4,     0,     2,     6,     5,     9,     5,     1,     2,     3,     0,     5,     0,     2,     3,     9,     9
357,     5,     6,     2,     7,     7,     2,     4,     1,     6,     6,     5,     2,     2,     7,     2,     2,     2,     9,     5,     3
358,     3,     2,     1,     9,     1,     1,     7,     4,     2,     4,     0,     2,     1,     0,     5,     5,     7,     3,     5,     3
359,     6,     9,     2,     9,     5,     0,     4,     2,     7,     7,     8,     2,     1,     7,     4,     3,     2,     6,     2,     4
360,     8,     8,     1,     7,     5,     0,     5,     0,     4,     5,     8,     1,     4,     8,     1,     3,     3,     4,     4,     3
361,     4,     5,     7,     6,     1,     2,     3,     3,     7,     2,     7,     0,     1,     1,     2,     0,     4,     4,     6,     8
362,     5,     5,     8,     7,     0,     1,     6,     6,     8,     3,     3,     1,     0,     0,     0,     2,     1,     7,    10,    10
363,     3,     7,     7,     4,     0,     2,     1,     7,     4,     3,     2,     4,     9,     3,     3,     1,     7,     3,     1,     0
364,     1,     2,     4,     9,     2,     0,     9,     6,     1,     4,     1,     1,     4,     2,     5,     6,     8,     3,     6,     1
365,     3,     4,     3,     5,     4,     2,     7,     5,     2,     2,     1,     4,     1,     6,     7,     5,     7,     4,     5,     0
366,     6,     4,     8,     5,     0,     0,     4,     4,     8,     3,     2,     3,     1,     0,     2,     4,     0,     6,     8,    10
367,     1,     2,     3,     9,     2,     1,     4,     3,     1,     3,     4,     1,     3,     3,     7,     4,     7,     5,     3,     0
368,     3,     4,     1,     8,     3,     1,     6,     0,     1,     2,     1,     1,     5,     5,     7,     8,     8,     6,     4,     1
369,     6,     4,     2,     9,     5,     1,     3,     1,     1,     3,     8,     2,     4,     7,     2,     2,     0,     7,     7,     2
370,     5,     6,     8,     6,     0,     2,     4,     5,     7,     3,     1,     1,     0,     0,     1,     0,     2,     2,     8,     9
371,     3,     5,     8,     1,     0,     3,     0,     5,     3,     6,     4,     7,     9,     2,     1,     5,     9,     3,     0,     0
372,     1,     2,     1,     5,     3,     1,     6,     4,     0,     6,     2,     1,     5,     1,     3,     6,     7,     5,     6,     3
373,     3,     2,     2,     7,     2,     1,     7,     3,     1,     6,     4,     3,     3,     3,     6,     7,     7,     4,     6,     2
374,     0,     3,     1,     8,     0,     2,    10,     6,     1,     5,     1,     2,     4,     4,     9,     5,     7,     6,     5,     3
375,     8,     8,     2,     6,     5,     1,     1,     1,     5,     7,     8,     2,     4,     6,     4,     3,     2,     6,     4,     1
376,     5,     6,     0,     6,     5,     1,     5,     2,     8,     8,     7,     1,     4,     6,     0,     4,     2,     5,     5,     3
377,     3,     9,     8,     6,     0,     1,     4,     6,     8,     3,     4,     0,     5,     0,     4,     2,     1,     4,     9,     9
378,     2,     1,     2,     6,     4,     1,     8,     7,     1,     7,     1,     4,     2,     2,     5,     5,     7,     3,     6,     2
379,     5,     7,     7,     5,     0,     1,     4,     4,     9,     7,     2,     0,     0,     0,     2,     1,     1,     3,     8,     8
380,     3,     5,     1,     8,     1,     2,     8,     6,     1,     5,     2,     3,     6,     2,     3,     2,     6,     8,     5,     1
381,     3,     8,     8,     7,     0,     1,     5,     4,    10,     3,     5,     1,     1,     1,     2,     2,     1,     6,     7,     5
382,     6,     8,     9,     5,     0,     0,     5,     4,     9,     7,     3,     2,     1,     1,     4,     0,     4,     7,    10,    10
383,     7,     7,     1,     8,     5,     1,     4,     0,     5,     3,     5,     2,     3,     5,     4,     2,     0,     2,     6,     5
384,     6,     8,     1,     5,     6,     1,     3,     1,     5,     4,     7,     0,     4,     2,     4,     3,     1,     6,     6,     5
385,     1,     2,     2,     4,     1,     2,     9,     7,     2,     5,     1,     0,     5,     3,     3,     3,    10,     6,     8,     1
386,     4,     5,     8,     9,     0,     1,     2,     6,     6,     4,     4,     1,     0,     2,     1,     0,     3,     6,     9,    10
387,     2,     1,     1,     5,     2,     1,     9,     4,     0,     3,     2,     1,     2,     3,     5,     5,     8,     3,     6,     5
388,     4,     6,     9,     0,     0,     2,     1,     3,     6,     6,     2,     4,     9,     1,     1,     3,     6,     5,     0,     0
389,     4,     7,     9,     6,     0,     1,     6,     6,     7,     6,     2,     1,     0,     2,     4,     1,     3,     6,     8,     9
390,     1,     7,     7,     1,     0,     0,     2,     3,     2,     4,     1,     8,    10,     6,     5,     2,     8,     4,     0,     0
391,     5,     6,     4,     6,     7,     0,     3,     0,     6,     5,     8,     1,     2,     7,     1,     1,     1,     4,     8,     2
392,     1,     9,     8,     2,     1,     1,     2,     6,     6,     4,     0,     4,     9,     6,     3,     4,     7,     4,     0,     0
393,     9,     8,     3,     7,     6,     2,     3,     1,     3,     7,     8,     3,     4,     6,     4,     3,     1,     6,     3,     3
394,     0,     7,     8,     0,     1,     1,     1,     6,     5,     4,     2,     5,     9,     3,     2,     3,     8,     2,     0,     0
395,     6,    10,     3,     6,     9,     1,     0,     2,     5,     4,     7,     1,     2,     6,     2,     5,     2,     4,     4,     5
396,     5,     7,     7,     6,     0,     1,     5,     6,     6,     4,     2,     0,     2,     2,     1,     0,     2,     5,    10,     8
397,     4,     4,     1,     7,     1,     2,     9,     8,     1,     6,     0,     1,     5,     2,     8,     4,     6,     7,     1,     3
398,     2,     2,     1,     8,     2,     0,    10,     7,     3,     7,     3,     5,     3,     3,     3,     3,     9,     4,     5,     2
399,     1,     2,     1,     9,     4,     0,     6,     5,     1,     4,     5,     2,     5,     4,     9,     5,     7,     3,     3,     2
400,     3,     3,     5,     9,     4,     3,     6,     7,     3,     3,     0,     1,     3,     2,     6,     6,     7,     3,     4,     2
401,     6,     5,     9,     5,     0,     3,     4,     4,     9,     3,     1,     1,     2,     1,     5,     0,     0,     3,     9,     9
402,     9,     6,     4,     6,     7,     1,     4,     1,     6,     5,     4,     2,     3,     7,     0,     3,     4,     4,     4,     3
403,     1,     1,     3,     9,     1,     0,     8,     5,     0,     5,     1,     1,     4,     2,     7,     6,     7,     4,     4,     2
404,     3,     7,     7,     6,     1,     1,     6,     2,     7,     5,     5,     0,     1,     0,     3,     3,     0,     8,     9,    10
405,     8,     8,     1,     8,     4,     0,     1,     0,     4,     4,     8,     1,     5,     8,     3,     3,     3,     2,     4,     4
406,     6,     6,     8,     7,     0,     1,     6,     3,     8,     6,     3,     1,     0,     1,     0,     2,     2,     0,     7,     9
407,     3,     9,    10,     0,     1,     5,     1,     5,     3,     4,     3,     5,     8,     4,     4,     3,     6,     8,     1,     0
408,     4,     4,     2,     9,     4,     2,     6,     6,     2,     7,     3,     2,     5,     4,     6,     5,     6,     4,     3,     5
409,     8,     5,     1,     7,     5,     1,     3,     1,     6,     6,     9,     2,     3,     7,     5,     5,     1,     7,     2,     2
410,     0,     0,     1,     9,     1,     0,    10,     6,     0,     4,     2,     0,     3,     3,     6,     5,     5,     5,     3,     0
411,     6,     5,     9,     4,     0,     3,     3,     7,     7,     4,     4,     1,     0,     0,     2,     2,     1,     5,    10,     9
412,     0,     6,     9,     0,     2,     0,     3,     5,     6,     4,     1,     4,     8,     4,     3,     0,     8,     5,     1,     0
413,     4,     8,     8,     5,     0,     1,     2,     5,     5,     3,     2,     1,     2,     3,     3,     4,     2,     4,     9,    10
414,     3,     2,     2,     8,     4,     0,     6,     5,     0,     6,     1,     4,     3,     4,     7,     4,     6,     3,     4,     3
415,     1,     2,     2,     8,     3,     1,     9,     4,     1,     6,     2,     4,     6,     4,     4,     4,     9,     6,     3,     2
416,     6,     7,     6,     7,     0,     1,     3,     4,     8,     5,     5,     1,     2,     0,     2,     3,     1,     5,     8,     8
417,     3,     0,     3,     6,     2,     1,     7,     5,     1,     2,     1,     2,     6,     2,     5,     5,     3,     5,     6,     2
418,     3,     6,    10,     1,     1,     1,     1,     6,     2,     5,     5,     4,    10,     7,     4,     4,     6,     6,     0,     0
419,     2,     0,     1,    10,     2,     0,     8,     2,     3,     6,     0,     3,     4,     4,     8,     4,     5,     3,     5,     3
420,     6,     6,    10,     6,     0,     0,     7,     2,    10,     5,     3,     0,     0,     1,     2,     2,     1,     7,     9,     7
421,     2,     1,     3,     9,     2,     1,     9,     6,     0,     7,     1,     4,     5,     2,     7,     3,     6,     5,     4,     3
422,     4,     2,     2,     6,     5,     2,     7,     7,     0,     3,     0,     1,     2,     2,     4,     1,     9,     3,     4,     2
423,     2,     2,     3,    10,     6,     2,     7,     3,     1,     3,     1,     2,     6,     3,     7,     3,     5,     6,     7,     1
424,     2,     8,     8,     7,     0,     4,     6,     7,     8,     4,     4,     0,     1,     0,     2,     2,     3,     1,     9,     9
425,     4,     5,     9,     7,     1,     1,     7,     7,     9,     6,     4,     3,     0,     1,     4,     1,     2,     4,    10,     7
426,     6,     6,     8,     6,     0,     2,     3,     3,     9,     6,     2,     2,     2,     0,     2,     1,     0,     5,     9,    10
427,     8,     7,     1,     6,     9,     0,     4,     0,     5,     6,     7,     0,     3,     7,     3,     4,     1,     5,     4,     3
428,     4,     5,     6,     2,     2,     1,     0,     4,     5,     6,     1,     5,    10,     3,     1,     4,     5,     5,     1,     0
429,     2,     6,    10,     3,     0,     2,     0,     8,     8,     5,     2,     4,     9,     1,     2,     4,     7,     6,     0,     0
430,     4,     4,     9,     5,     0,     1,     3,     6,     7,     7,     3,     0,     1,     0,     4,     2,     0,     4,     8,     9
431,     3,     3,     2,     7,     1,     3,     8,     3,     1,     9,     1,     1,     2,     2,     8,     8,     7,     8,     6,     1
432,     1,     4,    10,     6,     0,     1,     5,     7,     8,     7,     4,     0,     0,     0,     3,     3,     0,     4,     8,    10
433,     2,     1,     5,     6,     5,     0,     9,     5,     1,     2,     2,     2,     6,     1,     6,     3,     8,     5,     6,     6
434,     3,     2,     1,     5,     2,     2,     7,     6,     2,     5,     2,     3,     8,     3,     7,     3,     8,     5,     5,     2
435,     3,     7,     9,     1,     1,     1,     3,     6,     7,     9,     4,     5,     9,     4,     0,     2,     5,     5,     0,     0
436,     3,     7,     7,     2,     0,     0,     1,     8,     6,     6,     2,     5,     9,     4,     1,     3,     7,     4,     0,     0
437,     3,     6,     9,     1,     3,     0,     0,     4,     7,     5,     3,     4,     8,     2,     2,     1,     8,     6,     0,     0
438,     2,     3,    10,     3,     1,     0,     1,     3,     4,     7,     1,     5,    10,     2,     1,     3,     7,     2,     1,     0
439,     3,     7,    10,     4,     0,     1,     6,     4,     8,     5,     3,     0,     0,     0,     2,     3,     1,     2,     7,     8
440,     1,     2,     4,    10,     4,     0,     8,     6,     1,     5,     0,     2,     4,     5,     8,     4,     8,     6,     2,     1
441,     8,     4,     4,     5,     6,     1,     5,     1,     7,     6,     7,     2,     3,     5,     1,     4,     2,     5,     5,     5
442,     1,     5,     9,     1,     0,     1,     0,     7,     6,     8,     0,     5,    10,     3,     0,     2,     7,     5,     0,     0
443,     6,     5,     2,     8,     3,     0,     3,     0,     6,     3,     7,     4,     4,     6,     1,     3,     2,     7,     7,     4
444,     4,     1,     2,     8,     1,     1,     8,     4,     1,     7,     0,     1,     2,     3,     4,     4,     6,     2,     8,     1
445,     9,    10,     5,     7,     5,     0,     3,     2,     4,     7,     6,     4,     3,     9,     1,     5,     4,     9,     7,     1
446,     1,     2,     2,     7,     2,     0,     6,     5,     1,     2,     1,     1,     6,     2,     6,     5,     7,     3,     5,     2
